,Confidence,Group,Domain,Phylum,Class,Order,Family,Genus,Species
Otu11454,0.850781264,Eukaryota,Opisthokonta,Mesomycetozoa,Nucleariidea,Nucleariida,Nucleariidae_Nuclearia_1,Nucleariidae_Nuclearia_1_X,Nucleariidae_Nuclearia_1_X_sp.
Otu8834,0.90579989,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Dujardinidae,Dujardina,Dujardina_sp.
Otu9906,0.79597002,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,,,,
Otu3190,0.99909224,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu7233,0.964097857,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu8840,0.990064819,Eukaryota,Stramenopiles,Ochrophyta,Xanthophyceae,Xanthophyceae_X,Xanthophyceae_XX,Botrydiopsis,Botrydiopsis_constricta
Otu4201,0.983550902,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,Cyrtolophosidida_X,Cyrtolophosidida_X_sp.
Otu8857,0.882773774,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,Cyrtolophosidida_X,Cyrtolophosidida_X_sp.
Otu9633,0.999335566,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,,
Otu1895,0.999999946,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,,,,
Otu4503,0.938179539,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,,,
Otu8747,0.809563585,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Dujardinidae,Dujardina,
Otu2498,1,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,,,
Otu7337,0.830434178,Eukaryota,Alveolata,Perkinsea,Perkinsida,Perkinsida_X,Perkinsida_XX,Perkinsida_XXX,Perkinsida_XXX_sp.
Otu672,0.999998715,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Neogregarinorida,Actinocephalidae,Monocystis,Monocystis_sp.
Otu5045,0.784584303,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,,,,
Otu6235,0.901267613,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu6170,0.725806848,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,,,
Otu11447,0.999705677,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma-lineage_X,Rhogostoma-lineage_X_sp.
Otu14486,0.994992948,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,,
Otu3806,0.845110241,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonadidae_X,Cercomonadidae_X_sp.
Otu6831,0.99940446,Eukaryota,Excavata,Discoba,Euglenozoa,Kinetoplastida,Parabodonid,Parabodo,Parabodo_caudatus
Otu15051,0.986817416,Eukaryota,Rhizaria,Cercozoa,Cercozoa_X,Cercozoa_XX,Cercozoa_XXX,Cercozoa_XXXX,Cercozoa_XXXX_sp.
Otu5769,0.747673779,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Sessilida,Epistylis,Epistylis_wuhanensis
Otu7535,0.999999999,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12C,MAST-12C_X,MAST-12C_XX,MAST-12C_XX_sp.
Otu4198,0.999649462,Eukaryota,Amoebozoa,Conosa,Mycetozoa-Myxogastrea,Stemonitales-Physarales,Stemonitales-Physarales_X,Lamproderma,Lamproderma_scintillans
Otu4792,0.977502112,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellida_X,Choanoflagellida_XX,Clade-2,Sphaeroeca,Sphaeroeca_leprechaunica
Otu12628,0.993016557,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,,
Otu8385,0.792426191,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Arcellinida,Arcellinida_X,Lesquereusia,Lesquereusia_spiralis
Otu11081,0.777236886,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphidae,,
Otu5145,0.996915741,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,,,
Otu11054,0.777006934,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa,Protaspa_grandis
Otu6081,0.999924041,Eukaryota,Amoebozoa,Conosa,Mycetozoa-Myxogastrea,Stemonitales-Physarales,Physaraceae,Physarum,
Otu3025,0.977725131,Eukaryota,Amoebozoa,Lobosa,Discosea-Flabellinia,Dactylopodida,Vexilliferidae,Vexillifera,Vexillifera_minutissima
